image_id,generated_entities,groundtruth_entities,matched,missing,hallucinated,entity_similarity
image_0196,3,10,0,10,3,0.0
image_0971,9,5,2,3,7,0.4
image_0993,2,8,0,8,2,0.0
image_10231,10,3,2,1,8,0.6667
image_10244,3,3,0,3,3,0.0
image_10378,4,4,1,3,3,0.25
image_10536,9,11,3,8,6,0.2727
image_10769,1,11,0,11,1,0.0
image_11018,13,5,3,2,10,0.6
image_11082,3,7,0,7,3,0.0
image_11178,4,6,1,5,3,0.1667
image_11188,3,3,2,1,1,0.6667
image_11405,4,9,2,7,2,0.2222
image_11487,5,4,1,3,4,0.25
image_11504,4,5,2,3,2,0.4
image_12054,2,1,0,1,2,0.0
image_12092,3,2,1,1,2,0.5
image_12101,8,15,3,12,5,0.2
image_12114,7,9,2,7,5,0.2222
image_1227,7,12,2,10,5,0.1667
image_14735,14,0,0,0,14,0.0
image_14858,4,1,0,1,4,0.0
image_15771,9,8,3,5,6,0.375
image_16147,7,7,3,4,4,0.4286
image_16248,6,7,0,7,6,0.0
image_16710,1,7,0,7,1,0.0
image_16841,2,7,0,7,2,0.0
image_16883,1,9,0,9,1,0.0
image_16950,3,7,0,7,3,0.0
image_17233,1,7,0,7,1,0.0
image_17664,6,0,0,0,6,0.0
image_17892,3,5,2,3,1,0.4
image_18336,1,6,0,6,1,0.0
image_18917,4,4,3,1,1,0.75
image_18946,5,12,2,10,3,0.1667
image_19228,3,12,0,12,3,0.0
image_19527,3,2,0,2,3,0.0
image_19959,4,6,1,5,3,0.1667
image_20101,4,4,4,0,0,1.0
image_20520,3,5,0,5,3,0.0
image_20713,4,10,2,8,2,0.2
image_20988,7,8,1,7,6,0.125
image_21001,5,13,5,8,0,0.3846
image_21626,9,14,5,9,4,0.3571
image_22145,9,4,0,4,9,0.0
image_22336,2,10,2,8,0,0.2
image_22435,3,6,0,6,3,0.0
image_2275,3,4,1,3,2,0.25
image_23555,3,3,3,0,0,1.0
image_2362,1,1,0,1,1,0.0
image_23733,3,3,2,1,1,0.6667
image_23747,3,5,2,3,1,0.4
image_23791,9,5,4,1,5,0.8
image_24096,3,5,0,5,3,0.0
image_2445,6,7,2,5,4,0.2857
image_24663,3,5,0,5,3,0.0
image_24978,3,3,0,3,3,0.0
image_25123,9,13,1,12,8,0.0769
image_25545,4,9,3,6,1,0.3333
image_25674,7,8,0,8,7,0.0
image_26052,3,1,0,1,3,0.0
image_26675,3,3,3,0,0,1.0
image_26935,3,8,1,7,2,0.125
image_28422,8,1,0,1,8,0.0
image_28431,3,1,0,1,3,0.0
image_28449,3,6,0,6,3,0.0
image_28455,3,3,3,0,0,1.0
image_28458,1,5,0,5,1,0.0
image_28581,4,12,1,11,3,0.0833
image_29263,11,10,3,7,8,0.3
image_29659,7,7,3,4,4,0.4286
image_3132,11,9,1,8,10,0.1111
image_3189,3,3,1,2,2,0.3333
image_3448,1,7,0,7,1,0.0
image_4253,3,5,0,5,3,0.0
image_4410,7,6,1,5,6,0.1667
image_4569,3,5,3,2,0,0.6
image_4696,1,12,0,12,1,0.0
image_4810,3,11,0,11,3,0.0
image_5128,1,2,0,2,1,0.0
image_5386,3,2,0,2,3,0.0
image_5688,11,12,2,10,9,0.1667
image_5771,7,3,2,1,5,0.6667
image_6502,3,7,2,5,1,0.2857
image_6526,3,8,3,5,0,0.375
image_6633,3,3,0,3,3,0.0
image_6909,8,12,3,9,5,0.25
image_6918,3,3,2,1,1,0.6667
image_6925,3,2,2,0,1,1.0
image_7563,1,3,0,3,1,0.0
image_7800,3,3,3,0,0,1.0
image_7840,9,8,5,3,4,0.625
image_8144,3,2,0,2,3,0.0
image_8409,12,9,3,6,9,0.3333
image_8478,3,10,0,10,3,0.0
image_8525,3,4,3,1,0,0.75
image_8925,3,5,0,5,3,0.0
image_8969,6,8,2,6,4,0.25
image_9048,4,7,0,7,4,0.0
image_9406,3,4,0,4,3,0.0
