image_id,entity_precision,entity_recall,entity_f1,relation_precision,relation_recall,relation_f1,graph_score,hallucinated_count,missing_count,wrong_relation_count
image_0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,0
image_0971,0.2222,0.4,0.2857,0.1429,0.3333,0.2,0.2429,7,3,2
image_0993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,0
image_10231,0.2,0.6667,0.3077,0.0,0.0,0.0,0.1538,8,1,0
image_10244,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.1666,2,2,0
image_10378,0.25,0.25,0.25,0.0,0.0,0.0,0.125,3,3,0
image_10536,0.4444,0.3636,0.4,0.1429,0.0909,0.1111,0.2555,5,7,4
image_10769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,0
image_11018,0.2308,0.6,0.3333,0.0,0.0,0.0,0.1666,10,2,2
image_11082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,0
image_11178,0.25,0.1667,0.2,0.0,0.0,0.0,0.1,3,5,0
image_11188,0.6667,0.6667,0.6667,0.0,0.0,0.0,0.3333,1,1,1
image_11405,0.5,0.2222,0.3077,0.0,0.0,0.0,0.1538,2,7,0
image_11487,0.2,0.25,0.2222,0.0,0.0,0.0,0.1111,4,3,1
image_11504,0.5,0.4,0.4444,0.0,0.0,0.0,0.2222,2,3,0
image_12054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
image_12092,0.3333,0.5,0.4,0.0,0.0,0.0,0.2,2,1,1
image_12101,0.375,0.2,0.2609,0.125,0.0909,0.1053,0.1831,5,12,1
image_12114,0.2857,0.2222,0.25,0.1667,0.25,0.2,0.225,5,7,2
image_1227,0.3333,0.1667,0.2222,0.0,0.0,0.0,0.1111,4,10,1
image_14735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0
image_14858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
image_15771,0.375,0.375,0.375,0.1667,0.25,0.2,0.2875,5,5,0
image_16147,0.5714,0.5714,0.5714,0.2,0.1429,0.1667,0.369,3,3,3
image_16248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,0
image_16710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0
image_16841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7,0
image_16883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,0
